,co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
3302,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-05-13,1
3303,6_10,-34.618841397158,-58.44132227351071,Caballito,6,2020-05-19,2
3304,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-03-22,1
3305,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-03-23,1
3306,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-03-28,1
3307,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-04-18,2
3308,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-04-23,2
3309,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-05-07,2
3310,6_11,-34.6172679324858,-58.446248801566,Caballito,6,2020-05-16,2
3311,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-03-21,3
3312,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-03-23,1
3313,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-04-09,1
3314,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-04-16,1
3315,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-04-23,1
3316,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-04-28,1
3317,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-05-02,1
3318,6_12,-34.621584309795104,-58.4502966613352,Caballito,6,2020-05-04,1
3319,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-03-22,2
3320,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-03-23,1
3321,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-03,1
3322,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-08,1
3323,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-13,1
3324,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-18,2
3325,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-21,1
3326,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-22,1
3327,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-25,1
3328,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-24,1
3329,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-05-03,3
3330,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-04-30,4
3331,6_13,-34.6275140628625,-58.4507088968206,Caballito,6,2020-05-01,2
